id,status_group
37708,non functional
26989,functional needs repair
51851,non functional
52305,non functional
3445,non functional
48615,non functional
22870,non functional
43125,functional
12134,functional
40946,non functional
52553,non functional
38387,non functional
15254,non functional
41209,functional
32494,functional
55990,non functional
71026,non functional
3159,functional
13605,functional
42469,functional
43233,functional
16669,functional
56442,functional
9072,functional
2678,functional
42039,functional
27450,functional
8469,functional
71296,functional needs repair
48011,functional
40139,functional needs repair
56325,functional
5556,functional
71855,non functional
1442,functional
39511,non functional
8757,functional
9401,functional
34191,non functional
70223,functional
45913,functional
48232,functional
2293,non functional
57409,functional
70603,functional
8130,non functional
39825,non functional
34520,functional
8097,functional
56327,functional
30899,functional needs repair
35880,functional
41050,non functional
56087,non functional
33480,functional needs repair
10456,non functional
16042,functional
55960,non functional
9778,functional
36931,functional
36394,non functional
54178,non functional
12593,functional
31366,non functional
34167,functional
70207,non functional
41741,non functional
49477,non functional
59068,functional
22813,functional
19957,non functional
44956,functional
66179,non functional
65584,functional
27516,non functional
54827,non functional
34270,non functional
52782,functional
33966,non functional
18709,non functional
24270,functional
3101,functional
19646,functional
6425,functional
51792,functional
40877,non functional
43868,non functional
67808,functional
44861,functional
32251,functional
2061,non functional
46475,functional
14075,functional
55502,functional
6741,non functional
39623,non functional
11236,functional
42428,non functional
8855,functional
14429,functional
26691,non functional
36427,functional
6818,non functional
4273,functional
37247,non functional
34173,non functional
71839,non functional
52549,non functional
30200,functional
25277,functional needs repair
33292,non functional
7071,functional
31442,functional needs repair
59669,non functional
72546,non functional
5781,non functional
30499,functional
3725,functional
24861,functional
40025,non functional
38070,non functional
20759,functional
21539,functional
63921,functional
51426,non functional
56288,functional
15223,non functional
49496,functional
39717,functional
13821,functional
335,non functional
14904,functional
72618,functional
55610,functional
62126,functional
60626,functional
5761,functional
32526,non functional
32060,functional
73334,non functional
52541,functional
55432,functional needs repair
13023,functional
30605,non functional
55864,non functional
36557,functional needs repair
6354,functional
68522,functional
56486,functional
22060,non functional
43889,functional
41443,functional needs repair
1311,non functional
28804,non functional
50222,functional
50207,functional
61960,non functional
11689,functional
23429,functional
45404,functional
74177,functional
64792,functional
16896,non functional
73992,functional needs repair
60464,functional
59360,functional
52605,functional needs repair
2776,non functional
58972,non functional
36114,non functional
48769,functional
34715,non functional
22690,functional
52234,non functional
72324,non functional
58174,functional
43874,non functional
7618,functional
37764,functional
39938,functional
33297,functional
65917,functional
391,functional
41733,functional
70355,functional
73974,functional
7847,non functional
5146,non functional
31504,non functional
7754,non functional
52482,non functional
19416,functional needs repair
14461,non functional
16830,non functional
13581,non functional
37860,functional
36794,functional
63268,functional
8311,non functional
47178,functional
25882,functional
16947,functional
40704,non functional
69922,non functional
9000,functional
25857,functional
16388,functional
58707,non functional
29196,non functional
29183,functional
38165,functional
43433,functional
56847,non functional
37686,non functional
63782,non functional
26040,functional
46777,functional
60421,functional
12922,functional
6381,non functional
68803,non functional
71521,functional
18693,non functional
4651,non functional
44323,functional needs repair
46802,non functional
66865,non functional
11875,non functional
29721,non functional
21221,functional
41542,non functional
71539,non functional
52326,non functional
72442,non functional
14231,non functional
20367,non functional
3136,functional
22735,non functional
13068,functional
57104,non functional
21582,functional
70800,functional
2980,functional needs repair
43770,functional
43389,non functional
27635,functional
44587,non functional
41937,non functional
58844,functional
67800,functional
34027,non functional
61601,functional
60007,non functional
23360,functional
65779,functional
43258,non functional
3248,functional
25197,functional
71070,non functional
30008,non functional
3097,non functional
44896,functional
62412,functional
54083,functional
57406,non functional
21289,functional
65896,functional
48159,functional
14045,functional
6892,functional
72691,non functional
3844,non functional
62538,non functional
55089,functional needs repair
33889,functional
55481,functional
37046,functional
23121,non functional
57138,functional
53134,functional
61342,functional
34458,functional
53587,functional needs repair
22256,functional
21048,non functional
33252,non functional
17451,functional
17205,functional
9279,non functional
58586,functional needs repair
7517,functional
72577,functional needs repair
44677,non functional
38967,functional
11881,non functional
28719,non functional
46141,non functional
70075,non functional
45851,functional
30393,functional needs repair
21104,non functional
1631,non functional
51684,non functional
51789,non functional
29243,non functional
25282,functional
65450,non functional
61566,functional
40181,functional
17482,non functional
11288,functional
5363,functional
24389,non functional
19,functional
67261,non functional
28173,non functional
55919,functional
1415,non functional
15091,non functional
4897,functional
11160,functional
36278,non functional
20582,functional needs repair
46448,non functional
61453,functional
70486,non functional
17552,functional
20638,non functional
48300,functional
51493,non functional
33557,non functional
17024,non functional
58082,functional
56286,non functional
36808,functional needs repair
2315,functional
57435,functional
38374,functional
54741,non functional
23639,non functional
10380,functional
13407,functional needs repair
16201,functional
11643,functional
67089,functional
31895,non functional
32878,functional
2136,functional
8099,functional needs repair
8501,non functional
7431,functional
49946,non functional
49516,non functional
35366,non functional
19135,non functional
1157,non functional
56887,non functional
4854,functional
2712,non functional
905,functional
67619,functional
57805,functional
60786,functional
29139,non functional
38266,functional
34047,functional
39988,functional
3739,functional
23723,non functional
62452,non functional
66435,non functional
15336,functional needs repair
43119,non functional
13421,functional
9029,functional
27622,non functional
41968,functional
68148,functional
16335,functional
57144,non functional
65848,non functional
47002,non functional
36396,functional
69147,functional
13662,non functional
41670,functional
25222,functional
32429,functional
65523,functional
49757,non functional
67422,functional needs repair
10942,non functional
60338,functional
23953,functional
74115,non functional
32143,non functional
9274,functional needs repair
64951,functional
38707,non functional
58750,functional
58009,functional
43986,non functional
49226,non functional
36974,functional
40889,functional
10274,functional
71862,non functional
6017,non functional
60833,functional
55300,non functional
41664,functional
30751,functional
44446,functional
66905,functional
63799,non functional
60892,functional
72169,non functional
64246,functional
70816,non functional
48805,non functional
31561,functional
48964,functional
50964,non functional
3707,functional
9780,functional needs repair
68936,non functional
42972,non functional
2545,non functional
67000,functional
43922,non functional
69544,non functional
13501,non functional
57159,functional
61733,functional needs repair
19968,functional
62733,functional
17330,non functional
53173,functional
25743,functional
36229,non functional
39964,non functional
14306,non functional
25268,non functional
45724,non functional
68887,functional needs repair
26916,functional
2415,functional needs repair
27063,non functional
18926,functional
59273,non functional
32726,non functional
3031,functional
17226,non functional
11606,functional
45837,non functional
72642,functional
8488,functional
62739,functional
18923,functional
53316,functional needs repair
29247,functional
42984,non functional
55383,non functional
71739,functional
20516,non functional
24084,non functional
67298,functional needs repair
37091,non functional
23044,functional
25346,functional
37634,functional
61398,non functional
6939,functional
17363,functional
34805,functional
70025,non functional
32287,non functional
43218,functional
71132,functional
2302,functional
186,functional
184,functional
43224,functional
306,non functional
36392,non functional
3960,functional
37027,functional
19764,functional
70900,functional
62615,functional
5298,non functional
38495,functional
35276,non functional
68386,non functional
17707,functional
13370,functional
37889,functional
51007,non functional
7663,non functional
73760,functional
2074,non functional
45155,non functional
28836,functional needs repair
51793,functional
11804,functional
71917,functional
60692,non functional
67429,functional needs repair
7854,functional
64460,functional
69314,functional
16576,non functional
609,non functional
54049,functional
57224,functional
72082,non functional
62243,functional
20618,functional
63821,non functional
53239,functional
21043,functional
59650,non functional
44089,functional
13979,functional
12815,functional needs repair
44729,non functional
45688,non functional
12306,functional
65432,functional
42793,functional needs repair
28454,non functional
49219,functional
60135,functional
58366,non functional
8927,non functional
23038,functional
30827,non functional
40358,functional
35621,functional
45886,non functional
33433,functional
36424,functional
28713,non functional
11299,non functional
25267,non functional
13827,functional
5963,functional
55764,functional
18387,non functional
3676,non functional
4287,functional
13593,functional
36016,non functional
61083,functional
44028,functional
66495,non functional
10749,functional
17815,functional
37365,functional
51420,functional
8473,functional
27471,functional
24636,functional needs repair
46277,functional
58615,functional
52678,non functional
49967,functional
44703,functional
11010,functional
45907,functional needs repair
69391,non functional
33736,non functional
33649,functional
51675,non functional
15228,functional
36633,functional
45566,non functional
6422,functional
69478,non functional
37334,non functional
47973,non functional
26900,functional
35162,functional
19251,functional
39680,functional
73696,functional
23030,functional
54005,functional
40728,non functional
47401,functional
62553,non functional
39587,non functional
25911,non functional
13608,functional
4098,non functional
17508,functional
9245,non functional
60340,functional
32810,non functional
66928,non functional
26242,functional
71709,functional
65304,functional
70234,functional
43935,non functional
58552,functional
36069,non functional
12345,functional needs repair
46199,non functional
28658,functional
4145,functional
2274,functional
19014,non functional
52322,functional
8005,functional
9375,functional
41835,non functional
20100,non functional
18889,functional
47865,non functional
54515,functional
54273,non functional
65179,non functional
38758,functional
49274,functional
469,functional
9496,non functional
25721,functional
69793,non functional
59289,non functional
28868,non functional
72080,non functional
49618,functional
26233,functional
43836,functional
10229,functional
64716,non functional
73552,non functional
33758,functional
59006,non functional
60372,non functional
37164,non functional
62711,functional
18635,non functional
63832,non functional
73584,non functional
43028,non functional
40586,functional
52183,non functional
1571,functional
42822,non functional
4514,functional
40650,functional needs repair
39361,non functional
8356,functional
41406,functional
29466,non functional
44928,functional
65639,non functional
56233,non functional
9454,functional
46778,functional
60689,functional
3508,functional needs repair
30645,non functional
7809,functional needs repair
26235,non functional
65138,functional
46251,functional
54400,non functional
62476,functional
69612,functional
58000,functional
65783,functional
68380,non functional
47456,non functional
55162,functional
43531,non functional
9049,functional
56789,non functional
50550,functional
33420,functional
37381,non functional
45103,functional
22570,non functional
50985,functional
4592,non functional
22222,functional needs repair
10485,functional
30062,functional
29899,functional
73717,non functional
4842,functional
1780,functional
28881,functional
19482,non functional
28018,non functional
56868,functional
65849,non functional
43036,non functional
25506,non functional
50566,non functional
13568,functional
12174,non functional
58227,functional needs repair
73130,functional needs repair
15791,non functional
63655,non functional
54864,non functional
60344,functional needs repair
30273,functional
3963,functional
5955,functional
57763,functional
989,functional needs repair
24889,non functional
73827,non functional
67231,non functional
35858,functional
32229,non functional
10318,non functional
34706,non functional
18012,functional
57089,non functional
54568,functional
57976,functional
22846,non functional
44552,functional
7341,functional
59405,functional
3874,functional
51532,non functional
68717,non functional
41244,functional
61183,functional
39034,functional
3533,functional
58999,functional
73928,functional
57903,functional
37523,non functional
69512,functional needs repair
40296,non functional
24664,functional
44030,non functional
2348,non functional
53130,functional
30500,functional
13223,functional
13626,functional
10629,functional
1303,functional
55160,functional
23620,functional
64930,non functional
25258,functional
35241,functional
48362,non functional
37945,functional
6344,non functional
34251,non functional
27672,functional
31399,non functional
67386,functional
27338,functional
44829,functional
63011,functional
11870,functional
19231,non functional
5860,non functional
60581,non functional
45018,non functional
26937,non functional
70700,non functional
39803,functional
45556,functional
48313,functional
60004,functional
61617,functional
72601,non functional
60710,non functional
26417,functional
2343,functional needs repair
61816,non functional
21026,non functional
236,functional
30914,non functional
68143,non functional
40558,functional
38051,functional needs repair
62241,functional needs repair
13792,functional
38319,non functional
1269,non functional
32917,functional
49621,non functional
8435,non functional
59475,functional
5295,non functional
38321,functional
30310,functional
68084,non functional
12037,functional
44824,non functional
25987,functional
63932,non functional
45560,non functional
70046,non functional
43309,functional
72368,functional
74055,functional needs repair
37666,non functional
22186,non functional
64260,non functional
24060,functional
55043,functional
25619,functional
56641,functional
69243,functional
45119,functional
33145,non functional
56908,non functional
57517,functional
69028,non functional
58236,non functional
68932,non functional
72074,functional
8018,functional
46650,non functional
65383,non functional
19730,non functional
54686,non functional
60485,functional
15976,functional needs repair
25290,functional
23334,functional
67621,functional
22374,functional
36669,functional
17999,functional
11458,functional
39375,functional
23803,functional needs repair
12491,non functional
43796,non functional
14767,functional
42216,non functional
35855,functional
11448,functional
2861,functional
11665,non functional
10057,non functional
60062,non functional
50049,functional
20880,functional
66518,functional
1475,non functional
19919,functional
9306,non functional
4774,functional
47177,functional
11808,functional
55398,functional
9076,non functional
26288,functional
41772,functional
45966,functional
74022,functional
53437,functional
8536,functional
17,functional
33049,functional
45290,non functional
56089,functional needs repair
43632,non functional
22959,functional
41709,functional
7977,non functional
48819,non functional
40804,functional
33559,functional
33331,functional
23961,non functional
68033,functional
32964,functional
51004,non functional
28973,non functional
64112,non functional
45571,non functional
49117,functional
32883,functional
67905,non functional
27847,functional needs repair
34919,functional
25319,functional
46562,non functional
52567,non functional
63819,non functional
45835,functional
73421,non functional
19469,non functional
45937,functional
27080,functional
35312,functional
48796,functional
34974,functional
60845,functional needs repair
72820,non functional
63154,functional
10985,functional
63933,functional
12031,functional
42626,non functional
28353,functional
30070,non functional
31228,functional
8720,functional
73143,functional
42971,functional
11309,functional
16750,functional needs repair
18776,non functional
12973,functional
62659,functional
71009,functional needs repair
18980,non functional
3843,functional
38983,functional needs repair
73816,functional
64337,non functional
25525,functional
70777,functional
35053,non functional
49616,functional
41073,non functional
502,non functional
14311,functional needs repair
22695,functional
28082,non functional
60371,non functional
5507,non functional
25651,non functional
60589,non functional
39273,non functional
51179,non functional
3164,non functional
27015,non functional
69032,non functional
20650,non functional
14350,non functional
41410,non functional
26768,non functional
18519,functional
30424,non functional
36739,functional
57632,non functional
1068,functional
9313,functional
51830,functional needs repair
29697,non functional
42933,non functional
48069,functional
34015,non functional
54343,functional
50187,non functional
30880,non functional
56475,functional needs repair
42119,non functional
20937,functional
56497,non functional
36590,functional
28746,functional
63058,functional
65134,functional
39799,functional
43033,non functional
63479,non functional
46989,non functional
26310,functional
52287,functional
28790,functional needs repair
29277,non functional
181,non functional
63554,functional
28062,functional
53812,non functional
49544,non functional
53905,functional
22591,functional
26910,non functional
33676,functional
67185,functional
30170,non functional
63660,non functional
7185,non functional
29155,functional
27173,functional
28598,functional
31955,non functional
45367,non functional
34667,functional
69354,functional
73100,functional
30784,functional
45901,functional
26538,non functional
37470,functional
70161,non functional
61203,non functional
25518,functional
14980,functional
42650,functional
70350,functional
23969,functional
34306,non functional
72087,functional
50434,functional
47617,non functional
66292,functional
65909,non functional
35501,functional needs repair
55203,non functional
58263,non functional
34295,functional
46761,functional
38756,non functional
2114,non functional
65747,non functional
45833,non functional
46940,functional
12428,non functional
62248,non functional
53064,non functional
59928,functional
70878,functional
1259,non functional
10211,functional
73929,non functional
34349,functional
56010,functional
13966,functional
70030,functional
57309,functional
2461,functional
51852,functional
52065,non functional
69320,functional
22890,functional
38022,non functional
56603,functional
65549,functional
20923,functional
65706,non functional
25870,functional
18958,functional
16101,non functional
27685,functional
27717,functional
10819,functional
20741,functional
28542,non functional
66389,functional
66827,functional
12398,functional
11527,non functional
43232,functional
25543,non functional
21424,non functional
59321,non functional
5010,non functional
5315,functional
29903,non functional
7523,functional needs repair
59886,functional
58287,functional needs repair
43324,functional needs repair
17793,non functional
20480,functional needs repair
37261,functional
71607,non functional
1779,functional
31099,functional needs repair
50282,functional
28372,functional
30807,non functional
37754,non functional
64040,non functional
52942,functional
68858,functional
25234,functional
55290,non functional
33555,functional
61810,functional
31832,non functional
66121,non functional
54955,functional
37694,functional
8643,functional
22682,non functional
60067,non functional
19601,non functional
29151,functional
33070,non functional
4987,functional
25777,functional
27592,functional
63020,functional needs repair
52941,functional
67876,functional needs repair
68446,functional
67282,non functional
3273,non functional
23643,non functional
46568,non functional
38154,functional needs repair
63172,functional
26501,functional
61864,functional
68483,non functional
72506,functional
10258,functional
34968,non functional
48303,non functional
54256,non functional
70821,non functional
59962,functional
10095,functional
46913,functional
38566,functional
42109,non functional
55840,non functional
58778,functional
14110,functional
72176,functional
11627,non functional
70307,non functional
36323,non functional
56400,non functional
56304,functional
31264,functional
41767,non functional
65051,functional needs repair
43688,functional
35092,functional
68006,functional
8848,non functional
46729,functional needs repair
11508,functional
9790,non functional
66356,functional needs repair
11603,non functional
70135,non functional
2153,functional
54753,non functional
48342,functional
57719,non functional
41436,non functional
69449,non functional
28851,functional
16515,functional
69065,functional
32165,functional
18221,functional
65172,non functional
31546,functional
33154,functional
21614,non functional
18085,functional
37901,functional
20193,functional
37037,functional
32844,non functional
63982,functional
15082,non functional
13573,non functional
56862,non functional
52269,functional
16984,non functional
35220,functional
25414,functional
4763,functional
24108,functional
34203,functional
55707,non functional
52094,functional
33089,functional
30319,non functional
13313,functional
51210,functional
15782,functional
30929,functional
13005,non functional
46559,non functional
58312,non functional
14806,functional
20484,functional
26539,non functional
43248,functional
60030,functional
71367,non functional
67256,functional
63594,functional
8694,functional
67872,functional
31803,non functional
70606,functional
35412,functional
13769,functional
20189,functional
58144,functional needs repair
3366,functional
47346,non functional
57259,functional
65047,functional
72748,functional
66522,non functional
29190,functional
58653,non functional
46745,non functional
26354,functional
72322,functional needs repair
30700,non functional
72489,functional
25280,functional
34301,functional
60259,functional
50917,non functional
15663,non functional
33064,functional
36660,non functional
69550,non functional
45486,non functional
25657,functional
4113,functional needs repair
26226,non functional
12736,non functional
35191,non functional
3929,functional
22610,functional
50211,non functional
36027,non functional
17751,non functional
71540,functional
38376,functional
45365,non functional
41905,functional
50158,functional needs repair
9012,functional
13006,non functional
59014,functional
64937,non functional
16323,functional
4214,functional
55224,functional
49490,functional
57657,functional
52192,functional
67608,functional
30019,functional
35524,non functional
22649,non functional
59779,functional
50779,non functional
48481,functional
65412,functional
68676,non functional
33942,non functional
51983,non functional
58468,functional
33929,functional
1089,functional
34253,functional
71745,functional
22670,functional
34626,non functional
56722,non functional
11660,non functional
43161,functional
57456,non functional
51220,functional
70477,functional
61111,non functional
61046,functional
3692,functional
72897,functional
3639,functional
55566,functional
18858,functional
63794,functional
14702,functional
17145,functional
21951,non functional
17775,non functional
36494,non functional
17692,non functional
34991,functional needs repair
23853,functional needs repair
18835,non functional
66023,functional
35151,functional
30438,functional needs repair
44527,functional
33994,functional
71619,functional
24028,functional
17744,functional
54478,non functional
12511,non functional
12393,non functional
34106,functional
17426,functional
14973,non functional
10292,non functional
25459,functional
24831,functional
53526,functional
53164,functional
8791,functional
1388,non functional
55551,non functional
16913,functional
19220,functional needs repair
62929,non functional
30296,non functional
56006,non functional
58513,functional
3454,functional
70334,functional
73189,non functional
17689,functional
36995,functional
10518,functional
66539,functional needs repair
29591,non functional
23992,functional
5635,functional
48188,non functional
37190,functional
4330,functional
53076,functional
61994,functional
34462,non functional
19473,functional
10543,functional
50061,functional needs repair
24818,functional
23892,non functional
2560,non functional
69417,non functional
47051,functional
58997,functional
58178,functional needs repair
73423,non functional
12081,functional
5283,functional
6503,non functional
64964,functional
51559,functional
18189,functional
3104,non functional
13670,functional needs repair
23608,non functional
52509,functional
9309,non functional
39977,functional
14302,non functional
34610,functional
24478,functional needs repair
6859,non functional
3514,functional
67124,non functional
55371,functional needs repair
61495,non functional
14830,functional
32568,functional
32662,non functional
32956,functional
57921,functional
17608,functional
9470,functional
67740,non functional
51438,functional
42005,functional
62716,non functional
14381,functional
57234,non functional
31997,functional
54746,non functional
32299,functional
26570,non functional
58918,functional
23399,functional
42639,non functional
67849,non functional
15269,non functional
60628,functional
68253,non functional
3827,functional
8284,functional needs repair
27867,functional
16829,functional
13985,functional needs repair
53314,non functional
23469,functional
23311,functional
45895,non functional
72958,functional needs repair
14964,functional
72123,non functional
50156,functional
7993,non functional
53986,functional
44533,non functional
21154,non functional
42953,non functional
64179,functional
7067,functional
5438,non functional
6370,functional
39994,functional
53500,functional
18076,functional
14961,functional
52402,non functional
815,functional
11192,functional
60889,functional
18555,functional
33737,non functional
5952,non functional
8889,non functional
14571,functional
71120,functional
43327,functional
46286,non functional
3886,functional
52507,functional
25523,functional
7568,non functional
21413,non functional
42691,non functional
14796,functional
61739,non functional
25644,non functional
68935,functional
3736,non functional
13558,functional
6980,functional
7944,functional
7245,functional
50538,non functional
4331,functional
42400,functional
50747,functional
10665,non functional
55304,functional
64247,functional
46408,functional needs repair
34979,functional
74082,non functional
47787,functional
41134,functional
47671,functional
48051,non functional
73034,functional
18998,non functional
42949,non functional
48941,non functional
6339,non functional
33321,functional
44258,non functional
64924,functional
49060,non functional
38420,non functional
38821,non functional
59860,functional
67736,functional
18419,functional
9979,functional
53930,non functional
21441,functional
4296,functional
7654,non functional
38398,non functional
63147,non functional
73023,functional
18831,functional
55262,non functional
48272,functional
39734,non functional
42786,functional needs repair
35441,functional
71421,non functional
63787,non functional
6337,functional
26231,non functional
70596,non functional
3561,functional
66937,non functional
23070,functional needs repair
65088,functional
63621,non functional
13322,functional
27229,non functional
4525,non functional
22696,functional
40279,functional
59775,non functional
10685,non functional
58064,functional
43699,functional needs repair
17821,non functional
65025,non functional
34479,non functional
30055,functional
10836,non functional
48111,functional
7285,functional needs repair
72046,functional
28968,functional
30631,functional
58950,non functional
71376,functional needs repair
4561,functional needs repair
48247,functional
8766,functional needs repair
63459,functional needs repair
73456,functional
9561,functional
35887,non functional
6766,non functional
49323,non functional
68894,functional
57476,functional
60398,non functional
17191,non functional
60612,functional
38080,non functional
33405,non functional
26534,non functional
4071,functional
64537,functional
19888,non functional
35729,non functional
67144,functional
22884,non functional
5835,functional
1783,functional needs repair
42495,non functional
4447,functional
41478,non functional
63931,non functional
61133,non functional
8979,functional
41154,non functional
4408,functional needs repair
60662,functional
73927,functional
51157,functional
47088,non functional
50299,functional
12971,functional needs repair
40081,functional
61408,non functional
66372,non functional
50214,functional
1596,functional
66699,functional needs repair
41142,functional
65534,non functional
46545,functional
42708,functional
11449,functional
16513,non functional
59838,functional
31585,non functional
12033,non functional
51185,non functional
24948,functional
39373,functional
10787,functional
28883,functional
33995,functional
30718,non functional
1330,functional
50887,functional
34539,functional
71200,functional needs repair
62395,functional
56860,functional
43634,functional
68731,non functional
42946,non functional
41205,non functional
68396,functional
37582,functional needs repair
35538,functional
64442,functional
51605,non functional
4857,functional
54348,functional
3063,non functional
424,non functional
68277,non functional
73524,non functional
28097,non functional
4355,non functional
22165,functional
28317,non functional
68524,non functional
70699,functional
9142,functional needs repair
1490,functional
808,functional
7534,functional
40041,functional
33485,functional
37117,non functional
13119,non functional
15401,functional
29399,functional
49825,functional
70361,non functional
59774,non functional
3385,functional needs repair
72278,functional
48717,non functional
34412,functional
693,functional
30633,functional
61210,non functional
18872,non functional
44592,non functional
43622,non functional
47733,functional
54023,functional
4260,functional
34538,functional
65842,non functional
69537,functional
39464,non functional
49839,functional
6744,non functional
63735,functional
31211,non functional
31613,functional
3634,functional
41070,functional
6520,non functional
5493,non functional
13813,functional
4131,functional
50637,non functional
7115,functional
18435,functional
73786,functional
25475,functional
28919,functional
62176,non functional
39243,non functional
22932,functional
9374,functional
12462,functional
4712,functional
71426,non functional
68656,functional
20091,functional
11396,functional
19850,functional
58275,functional
50312,non functional
59012,functional
58353,functional
65385,non functional
51281,non functional
53808,functional
59927,non functional
9223,non functional
1127,functional
50633,non functional
63119,non functional
48801,functional
22301,functional
13592,functional
56185,functional
32498,functional
12939,non functional
52805,functional needs repair
8448,non functional
49923,non functional
60462,non functional
37396,functional
35437,functional needs repair
61171,functional
53691,non functional
2410,functional
61901,non functional
7022,functional
15594,functional
65974,functional
2110,functional
19216,functional
43696,non functional
12350,functional
42140,functional
72927,non functional
50729,functional
5076,functional
17107,functional
38394,functional
20709,non functional
4302,non functional
38890,non functional
27692,non functional
5207,functional
16219,non functional
28969,non functional
42446,non functional
50707,functional
73349,non functional
49583,functional
23128,functional
33465,functional
65068,functional
41678,non functional
3363,non functional
49751,functional
68841,functional
55837,non functional
72714,non functional
22680,functional
24593,functional
42027,functional
62770,functional
34298,functional
24682,functional needs repair
32329,functional
8942,functional
47966,non functional
68165,functional
10399,functional
68634,functional
58658,non functional
19336,non functional
17898,non functional
31965,non functional
7929,non functional
1524,functional needs repair
66284,functional
44317,non functional
32077,functional
13863,functional
53001,functional
34310,functional
20574,non functional
11943,functional
45828,functional
22163,functional
61144,functional
55108,non functional
34436,non functional
6871,functional needs repair
61018,functional
52724,functional
29303,functional
71857,functional
51134,functional
43361,non functional
29361,non functional
47668,functional
26060,non functional
27094,functional
10868,functional
46395,non functional
49819,functional
62375,functional
6784,functional
38109,non functional
70905,non functional
18977,functional
53154,functional
44974,functional
29255,functional
44051,non functional
13732,non functional
26537,functional
60022,functional
27665,functional
65553,functional
10918,non functional
72168,functional
52124,functional
26314,functional
69650,functional
71799,non functional
56476,non functional
51616,functional
41669,non functional
42594,functional
43920,functional
68840,non functional
52218,functional
65377,functional
39641,functional
14201,functional needs repair
46829,functional
66453,functional
20034,functional
11612,functional
24204,non functional
9634,functional
6448,functional
59948,non functional
42610,non functional
69528,functional
44815,functional
9716,functional
2173,functional needs repair
36763,functional
4715,functional
25283,functional
50721,functional
29741,functional
60651,functional
57428,functional
49144,functional
22546,functional
64398,functional
30547,functional
47423,functional needs repair
8524,non functional
41480,functional
