id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,basin,region,lga,ward,population,public_meeting,scheme_management,permit,construction_year,extraction_type_group,extraction_type_class,management_group,payment_type,quality_group,quantity,source,source_class,waterpoint_type
63835,0.0,107,1087,1718.0,309,31.26463973,-7.58627501,2,15,92,143,600.0,0,6,0,1986.0,1,0,4,2,2,1,6,1,1
61526,0.0,35,241,315.0,293,35.79913489,-8.79099926,6,11,35,1276,250.0,1,6,1,1997.0,1,0,4,2,5,2,6,1,1
32712,0.0,37,28,339.0,702,37.61890645,-6.13628307,8,11,83,217,56.0,1,6,1,2009.0,6,3,4,2,2,2,7,0,6
35198,500.0,75,1027,1962.0,9,34.68466785,-9.24966497,6,3,91,378,150.0,1,7,1,2009.0,1,0,4,1,2,1,8,0,1
43166,0.0,321,364,720.0,446,37.36723401,-3.40982375,5,6,73,936,1.0,1,10,1,1976.0,1,0,0,1,2,2,8,0,1
1659,0.0,99,414,0.0,469,31.73175079,-2.43482651,4,4,12,631,0.0,1,7,1,2000.0,5,1,4,1,2,1,7,0,4
4288,0.0,303,1271,1129.0,836,35.65236779999999,-10.69528448,7,16,111,1811,0.0,0,1,1,2008.0,2,1,1,3,2,0,7,0,4
54898,2000.0,36,1481,1297.0,1535,36.36653227,-7.74828885,6,3,34,1961,49.0,1,6,1,2009.0,1,0,4,0,2,1,8,0,1
9152,0.0,125,204,0.0,332,32.77054907,-8.87143797,2,10,62,423,0.0,0,6,1,2000.0,1,0,4,2,2,1,8,0,6
49993,1000.0,45,209,1923.0,309,35.15620506,-8.59832825,6,3,79,320,0.0,1,6,1,2000.0,11,1,4,0,2,1,1,0,4
33258,500.0,88,1358,1691.0,309,34.68054106,-9.09373814,6,3,91,1166,106.0,1,7,1,1978.0,1,0,4,1,2,1,6,1,1
22531,0.0,106,590,0.0,628,32.84642559,-9.04874387,2,10,62,1349,0.0,1,6,0,2000.0,5,1,4,3,2,2,7,0,4
43605,0.0,46,1433,0.0,1549,35.84408773,-5.56955413,8,2,11,271,0.0,1,6,1,2000.0,4,2,4,6,2,0,3,0,2
4259,0.0,318,364,1490.0,309,36.6318904,-3.31752372,5,0,0,717,150.0,1,6,1,2002.0,1,0,4,2,2,2,8,0,1
10000,0.0,308,1284,1543.0,1328,37.96368633,-4.43332451,5,6,100,715,110.0,1,10,1,2002.0,1,0,4,2,2,2,8,0,1
40523,0.0,250,234,1530.0,1505,34.81630187,-4.79458503,0,18,109,1987,77.0,1,8,1,2004.0,0,1,4,2,2,1,3,0,4
8444,0.0,35,779,1636.0,905,35.09894021,-9.5524379,1,3,91,626,35.0,1,6,0,1998.0,1,0,4,2,2,1,8,0,1
51918,0.0,113,364,0.0,1604,33.86733148,-9.47130539,1,10,46,339,0.0,1,10,1,2000.0,1,0,0,1,2,1,8,0,1
47252,0.0,32,238,313.0,309,36.00262016,-9.08732505,6,11,121,671,1.0,1,11,1,1996.0,6,3,4,2,2,2,7,0,6
47927,0.0,295,364,983.0,446,35.69545008,-3.8032586,0,8,2,958,545.0,1,6,1,1970.0,1,0,4,2,2,1,6,1,1
68451,30.0,252,1271,336.0,1316,39.57272847,-10.6427246,7,12,115,929,1.0,1,6,1,2007.0,5,1,4,5,2,1,5,1,4
34230,0.0,258,1491,1622.0,1651,34.85384032,-4.95702739,0,18,108,1406,1.0,1,6,2,1980.0,6,3,4,6,5,0,7,0,6
66768,0.0,115,414,0.0,469,33.15308297,-2.75437447,4,13,67,792,0.0,1,6,1,2000.0,5,1,4,0,2,1,7,0,4
52740,0.0,57,355,1304.0,437,36.84187944,-6.19657933,8,11,36,242,180.0,1,6,1,1971.0,1,0,4,2,2,1,8,0,1
25374,20.0,52,48,-24.0,36,39.33258809,-7.39995371,6,14,69,746,250.0,1,6,0,2005.0,2,1,4,5,4,1,7,0,4
22724,4000.0,44,1027,2116.0,1092,34.56495647,-9.34687613,1,3,91,318,350.0,1,6,0,2000.0,1,0,4,0,2,1,8,0,1
70290,0.0,252,364,348.0,1148,38.84187642,-10.20492471,7,7,85,179,250.0,1,6,0,1978.0,6,3,4,2,4,2,3,0,2
42954,500.0,14,1358,1511.0,314,34.52230405,-8.96235782,6,3,91,881,80.0,1,7,1,1978.0,1,0,4,1,2,3,6,1,1
67443,0.0,117,1491,0.0,1651,33.66264853,-9.34357775,1,10,99,363,0.0,1,6,2,2000.0,1,0,4,2,2,2,6,1,1
12714,0.0,183,1108,0.0,309,33.76302396,-3.59508239,0,17,40,1960,0.0,1,2,0,2000.0,1,0,2,6,2,3,5,1,6
59101,20.0,252,1271,343.0,1316,38.77697117,-10.40078865,7,7,85,1904,567.0,1,6,0,2005.0,2,1,4,1,5,0,3,0,4
3436,0.0,48,1491,1451.0,1651,34.84615002,-8.72136609,6,3,91,1818,65.0,1,6,0,1999.0,11,1,4,2,2,1,1,0,4
1091,0.0,106,364,0.0,1129,31.73887975,-1.0036789000000002,4,4,66,526,0.0,1,6,1,2000.0,1,0,4,2,2,2,8,0,1
61595,0.0,269,899,1375.0,1129,30.90419116,-2.94585339,3,5,30,1692,120.0,1,6,0,1988.0,1,0,4,6,2,1,8,0,2
37200,20.0,282,835,786.0,832,37.35564114,-3.35395183,5,6,74,1233,16.0,1,10,1,2004.0,1,0,0,5,2,2,8,0,2
55634,0.0,108,422,0.0,499,33.45964796,-2.98410437,4,13,45,1025,0.0,1,6,1,2000.0,11,1,4,2,2,1,3,0,4
7076,2000.0,278,209,614.0,269,37.2574,-11.17580372,7,16,119,1374,1.0,1,6,0,1994.0,11,1,4,0,2,1,3,0,4
58463,0.0,41,364,196.0,309,38.76557538,-5.14719268,5,20,80,966,1600.0,1,6,0,1962.0,1,0,4,2,2,2,8,0,2
54812,0.0,52,364,556.0,1129,37.53277831,-6.96247516,8,11,83,1268,1.0,1,6,1,1971.0,1,0,4,2,2,1,6,1,1
28291,0.0,193,364,1375.0,446,33.99845944,-1.80744609,4,9,82,119,320.0,2,6,1,1964.0,1,0,4,6,2,1,0,1,2
12942,0.0,192,1271,0.0,1316,33.51805294,-3.43180657,0,17,40,1309,0.0,1,8,0,2000.0,5,1,4,3,2,1,7,0,4
4368,500.0,30,11,1977.0,9,34.69865311,-9.26635923,6,3,91,1619,100.0,1,6,1,2008.0,1,0,4,1,2,1,6,1,1
22281,0.0,166,1068,2267.0,1162,34.40576204,-9.29284656,1,3,91,318,35.0,1,6,1,1996.0,1,0,4,3,2,1,8,0,1
3902,0.0,180,1108,0.0,1515,34.2687912,-3.21460671,0,17,64,1458,0.0,1,8,1,2000.0,5,1,4,2,2,1,7,0,4
11699,0.0,232,1466,0.0,1651,32.54728887,-3.53806862,4,17,25,158,0.0,1,11,1,2000.0,1,0,4,5,2,1,8,0,6
58801,300.0,42,364,2098.0,233,34.00938636,-9.31604849,1,3,55,380,0.0,1,7,0,1995.0,1,0,4,1,2,1,8,0,1
62390,0.0,180,286,0.0,348,33.78422133,-3.72563873,0,17,40,1451,0.0,0,2,0,2000.0,1,0,2,6,2,3,5,1,1
60434,0.0,97,414,0.0,309,31.43610312,-1.48821823,4,4,7,1791,0.0,1,6,1,2000.0,11,1,4,2,2,1,7,0,4
18814,0.0,33,241,328.0,293,35.80970965,-8.78069049,6,11,35,1276,550.0,1,6,1,1997.0,1,0,4,2,2,2,6,1,1
21421,50.0,310,0,6.0,1,39.18238785,-6.93043582,8,1,20,1356,80.0,2,3,0,2010.0,10,5,0,5,2,1,3,0,1
70860,0.0,186,1467,0.0,1587,32.16395211,-3.68935704,3,17,9,1089,0.0,0,8,1,2000.0,5,1,4,6,2,0,7,0,4
50625,0.0,178,1108,0.0,1138,32.91027125,-3.39232579,4,17,103,1893,0.0,1,8,1,2000.0,7,1,4,2,2,1,3,0,4
34030,0.0,98,414,0.0,309,31.48177107,-1.23985971,4,4,66,817,0.0,1,6,1,2000.0,5,1,4,2,2,1,7,0,4
18331,20.0,252,320,308.0,392,39.56750411,-10.73414461,7,12,115,1207,200.0,1,9,1,1982.0,10,5,4,5,2,1,3,0,1
31069,0.0,267,364,0.0,309,33.29728919,-4.61740447,3,19,93,1942,0.0,1,6,0,2000.0,6,3,4,2,2,3,7,0,6
61477,0.0,222,1241,0.0,836,32.94190901,-5.06937402,3,19,114,1560,0.0,1,6,1,2000.0,2,1,4,2,4,3,7,0,4
73898,0.0,94,364,0.0,309,31.51305749,-1.56523523,4,4,7,1780,0.0,1,6,1,2000.0,0,1,4,2,2,1,7,0,4
48825,200.0,271,899,965.0,309,29.65340571,-4.76740128,3,5,31,478,160.0,1,6,1,1984.0,1,0,4,1,2,2,8,0,1
33828,0.0,207,246,0.0,334,32.52121881,-4.3405578,3,19,123,75,0.0,1,6,1,2000.0,1,0,4,2,2,3,5,1,1
540,0.0,246,234,1464.0,1505,34.64948645,-4.86938523,0,18,109,1470,1.0,1,8,1,2003.0,0,1,4,4,2,0,3,0,4
40508,0.0,262,428,0.0,473,0.0,-2e-08,4,17,5,1820,0.0,0,6,0,2000.0,11,1,4,2,2,1,7,0,4
11683,30.0,251,1443,1516.0,1205,34.69360484,-4.31866153,0,18,23,1567,145.0,1,8,1,2008.0,4,2,4,5,2,1,3,0,2
37886,10.0,41,246,5.0,309,38.95787098,-5.48773957,5,20,94,1484,5000.0,1,6,0,1966.0,6,3,4,5,2,2,7,0,4
32915,10.0,302,874,1518.0,989,35.50228304,-3.39224696,0,0,27,203,800.0,1,6,1,2010.0,1,0,4,5,2,1,6,1,1
31800,0.0,189,414,1493.0,499,34.41177422,-1.33033676,4,9,117,1950,200.0,1,11,0,1998.0,6,3,4,6,2,1,7,0,6
29723,0.0,314,664,1481.0,754,37.12262198,-3.18424502,5,6,105,1874,1.0,1,9,1,1999.0,1,0,4,1,2,1,8,0,1
32888,0.0,306,736,1599.0,886,37.98175429999999,-4.48223267,5,6,100,2040,120.0,1,10,1,2006.0,5,1,4,2,2,1,7,0,4
51009,0.0,106,209,0.0,213,33.88665384,-9.59229022,1,10,46,823,0.0,1,6,1,2000.0,1,0,4,2,2,0,8,0,1
34657,0.0,305,364,1211.0,309,37.36917699,-3.27740552,5,6,73,1993,1.0,0,6,1,1978.0,1,0,4,2,2,2,8,0,1
48722,200.0,57,238,263.0,309,36.89984915,-7.86133121,6,11,35,1045,280.0,1,7,1,1998.0,1,0,4,1,2,2,6,1,1
22560,0.0,58,1466,0.0,1579,35.38355573,-5.32096303,0,2,42,1835,0.0,1,6,0,2000.0,4,2,4,2,4,2,3,0,2
879,0.0,179,277,0.0,309,33.499765999999994,-3.62640345,0,17,104,285,0.0,2,8,0,2000.0,0,1,4,2,4,2,1,0,4
2417,50.0,262,1358,-41.0,1441,40.00472481,-10.24827875,7,12,77,1569,600.0,1,6,1,2004.0,10,5,4,5,2,1,3,0,2
53942,200.0,54,844,273.0,234,36.90038334,-7.83268786,6,11,35,1045,180.0,1,7,1,2010.0,1,0,4,1,2,2,6,1,1
68592,0.0,40,1433,0.0,1549,36.636246500000006,-6.90942963,8,2,76,1144,0.0,1,6,1,2000.0,5,1,4,2,2,1,7,0,4
29263,1000.0,274,899,1266.0,1134,30.55318966,-3.62453183,3,5,30,422,230.0,1,6,0,1990.0,1,0,4,0,2,1,8,0,2
3228,20.0,281,835,783.0,832,37.37285829,-3.34929238,5,6,74,1343,10.0,1,10,1,2008.0,1,0,0,5,2,2,8,0,1
9874,500.0,269,1151,1065.0,1205,34.22859946,-4.21202804,0,18,23,1647,225.0,1,7,1,2011.0,5,1,4,1,2,1,7,0,4
38751,0.0,185,1100,0.0,309,32.10565536,-3.64803601,3,17,9,1089,0.0,1,2,1,2000.0,5,1,2,6,2,1,7,0,4
20216,0.0,103,364,0.0,309,30.98836035,-1.71718132,4,4,26,1649,0.0,1,6,1,2000.0,1,0,4,2,2,1,8,0,1
9286,0.0,116,364,0.0,332,32.48014401,-8.44710843,2,10,62,440,0.0,0,6,0,2000.0,6,3,4,3,5,1,3,0,6
73372,500.0,247,899,995.0,1129,29.74489726,-4.74358543,3,5,31,980,156.0,1,6,1,1982.0,1,0,4,1,2,1,6,1,2
38479,50.0,278,1491,1181.0,1651,35.08500496,-5.27943293,0,18,108,1043,1.0,1,6,2,2000.0,4,2,4,5,2,2,3,0,1
40014,1000.0,52,1271,507.0,1316,37.71980455,-6.81044536,8,11,72,26,85.0,1,6,1,2008.0,1,0,4,1,2,1,6,1,1
10264,300.0,53,473,280.0,553,37.03765249,-7.65329528,6,11,36,1789,300.0,1,6,1,2008.0,2,1,4,3,0,1,7,0,4
41140,200.0,247,272,1245.0,309,30.31409621,-4.31958229,3,5,28,753,1.0,1,10,1,2003.0,1,0,4,1,2,1,8,0,1
14123,750.0,278,364,1298.0,446,30.10273337,-4.50713784,3,5,28,1416,450.0,1,10,1,1975.0,1,0,4,1,2,2,6,1,2
16772,0.0,272,640,313.0,712,38.93084693,-10.55797734,7,12,57,166,1.0,1,6,1,1977.0,1,0,4,2,2,0,8,0,1
73769,0.0,120,1227,0.0,1239,31.65326799,-1.59857903,4,4,81,1788,0.0,1,6,1,2000.0,1,0,4,2,2,1,8,0,5
61093,0.0,143,272,1597.0,309,31.83944197,-8.35157082,2,15,112,1330,500.0,1,6,1,1972.0,1,0,4,2,2,2,6,1,1
9006,0.0,249,364,1517.0,418,34.78431957,-4.82738848,0,18,109,1407,29.0,1,2,1,2007.0,12,6,2,2,2,3,3,0,2
903,0.0,254,1466,874.0,309,29.78721281,-4.82355118,3,5,31,980,3000.0,1,8,1,2011.0,6,3,4,6,2,1,3,0,6
12354,0.0,254,774,1217.0,535,35.08359192,-5.32009311,0,18,56,1008,300.0,1,6,0,1976.0,4,2,4,6,2,1,3,0,2
30550,0.0,192,1108,0.0,1515,34.37291325,-3.75723198,0,17,64,1447,0.0,1,8,1,2000.0,5,1,4,2,2,2,7,0,4
71163,1000.0,34,590,1704.0,233,34.30382094,-9.45902285,1,3,55,386,0.0,1,6,0,2003.0,1,0,4,0,2,1,8,0,1
26626,0.0,69,364,0.0,296,33.38260918,-8.9769477,2,10,60,448,0.0,0,2,0,2000.0,1,0,2,2,2,3,5,1,1
55814,0.0,102,945,0.0,1021,30.82703584,-2.49634754,4,4,89,1807,0.0,1,6,0,2000.0,1,0,2,2,2,1,8,0,2
4795,0.0,264,1284,1534.0,1328,34.055099,-5.96664248,0,18,56,1177,250.0,1,11,0,1996.0,6,3,4,2,2,2,7,0,6
55101,0.0,188,277,0.0,315,33.19551038,-3.86032546,0,17,103,1936,0.0,1,8,1,2000.0,5,1,4,2,2,3,7,0,4
36776,0.0,70,1491,0.0,1651,33.24238335,-9.2849873,1,10,21,1563,0.0,1,6,0,2000.0,1,0,4,6,5,0,8,0,1
4720,0.0,9,1358,1366.0,309,34.55789311,-8.88959406,6,3,91,361,54.0,1,7,1,1978.0,1,0,4,3,2,0,6,1,1
2592,0.0,41,1433,0.0,233,36.45047141,-5.95382733,8,2,43,280,0.0,1,6,1,2000.0,4,2,4,5,4,2,3,0,2
14139,0.0,191,1108,0.0,309,32.39062634,-4.0317758,3,17,25,687,0.0,1,11,1,2000.0,5,1,4,6,1,1,7,0,4
46703,0.0,280,48,205.0,81,39.83635627,-10.65591703,7,12,77,1376,400.0,1,6,1,2012.0,4,2,4,6,2,1,3,0,2
40846,0.0,249,277,0.0,309,0.0,-2e-08,4,17,5,888,0.0,1,8,0,2000.0,5,1,4,2,2,2,7,0,4
18,0.0,42,1433,0.0,233,36.52429909,-6.18081796,8,2,43,1968,0.0,1,6,0,2000.0,4,2,4,5,4,1,3,0,2
25510,0.0,249,277,0.0,309,0.0,-2e-08,4,17,5,1450,0.0,1,8,0,2000.0,11,1,4,2,2,1,7,0,4
33522,0.0,314,364,1418.0,1130,36.93134031,-3.22478964,5,0,65,838,230.0,1,6,1,1978.0,1,0,4,6,2,1,8,0,1
72036,0.0,279,378,1492.0,427,37.60065136,-3.17055239,5,6,95,2003,1.0,1,0,1,2008.0,1,0,0,1,2,1,8,0,1
5049,200.0,276,899,1456.0,974,29.97330036,-4.483061,3,5,28,1399,520.0,1,10,1,1988.0,1,0,4,1,2,2,6,1,1
41187,0.0,105,1284,1127.0,1328,31.21600807,-6.33861792,2,15,75,1366,150.0,0,5,1,1975.0,1,0,0,2,2,1,8,0,1
31907,0.0,293,1068,1143.0,1162,37.64088015,-3.26161729,5,6,95,1170,1.0,1,0,1,1994.0,1,0,0,1,2,2,8,0,1
27521,500.0,64,209,1705.0,309,34.54291404,-9.14263025,6,3,91,378,85.0,1,7,1,1993.0,6,3,4,1,2,1,6,1,1
61019,5000.0,265,364,1600.0,309,29.82244535,-4.39890263,3,5,28,1397,470.0,1,10,0,2001.0,5,1,4,4,2,1,7,0,4
72954,0.0,117,597,0.0,634,33.93744798,-9.42897316,1,10,46,1012,0.0,1,6,1,2000.0,1,0,4,2,2,1,8,0,1
46714,0.0,207,389,0.0,482,32.75596821,-5.03072068,3,19,114,1023,0.0,1,6,1,2000.0,6,3,4,2,2,0,7,0,6
36519,1000.0,301,1467,1416.0,1583,37.91521252,-4.15288295,5,6,100,1347,35.0,1,10,1,1995.0,1,0,4,0,2,1,9,2,1
8457,0.0,14,1027,1394.0,1092,34.46875596,-8.95043856,6,3,91,881,78.0,1,7,1,2010.0,1,0,4,3,2,1,6,1,1
1229,0.0,303,469,1359.0,526,36.75704048,-2.56304627,0,0,50,1515,4000.0,1,6,1,1999.0,1,0,4,3,2,1,6,1,0
33999,0.0,286,364,1595.0,309,37.44023528,-3.29415489,5,6,73,683,40.0,1,6,1,1974.0,1,0,4,6,2,1,8,0,1
72404,0.0,252,1466,397.0,1527,37.95162261,-9.4595649,7,7,49,16,350.0,1,6,1,2011.0,2,1,4,6,4,0,3,0,4
54299,0.0,203,774,1417.0,979,34.02101986,-1.90088867,4,9,10,1694,250.0,1,6,1,1989.0,1,0,4,6,2,1,3,0,2
66305,0.0,123,414,0.0,469,33.18921093,-2.93083247,4,13,67,1227,0.0,2,6,1,2000.0,5,1,4,2,5,2,7,0,4
20426,0.0,304,1491,1005.0,1651,35.95384217,-3.44447734,0,0,70,236,1.0,0,7,2,2000.0,10,5,4,2,2,2,8,0,1
5342,0.0,115,364,0.0,212,31.454568199999997,-2.64347173,4,4,12,470,0.0,1,6,1,2000.0,1,0,4,2,2,1,8,0,2
39095,0.0,184,1108,0.0,309,32.07685636,-4.02913282,3,17,25,83,0.0,1,11,1,2000.0,5,1,4,6,3,2,7,0,4
5233,10.0,250,640,414.0,712,39.40196011,-10.92420851,7,12,88,1161,700.0,1,6,0,1986.0,1,0,4,5,2,2,8,0,2
3437,0.0,197,1100,0.0,309,32.12720086,-3.32559413,3,17,9,1141,0.0,1,8,1,2000.0,5,1,3,6,2,2,7,0,4
8967,0.0,21,1066,1375.0,1160,34.61889413,-9.97188884,1,3,51,871,1.0,0,6,0,1974.0,1,0,4,2,2,0,8,0,1
7168,0.0,33,1066,2325.0,233,34.34506798,-9.33837833,1,3,55,1044,0.0,1,6,0,2002.0,1,0,4,2,2,1,8,0,1
51066,0.0,294,250,1575.0,338,35.3017435,-4.44425498,0,8,17,249,238.0,1,6,1,2011.0,1,0,4,2,2,2,8,0,1
61288,20.0,31,384,56.0,309,38.57995673,-6.8219959,8,14,29,806,397.0,1,6,1,1987.0,4,2,4,5,2,1,6,1,1
73814,0.0,117,1023,0.0,721,31.81595443,-1.24179381,4,4,7,1666,0.0,1,6,1,2000.0,1,0,4,2,2,2,8,0,5
46678,0.0,250,1491,1439.0,1651,34.58643575,-4.66935779,0,18,108,396,1.0,1,6,2,1960.0,6,3,4,6,5,0,7,0,6
49534,0.0,131,1271,848.0,309,31.67955889,-7.78342438,2,15,112,1385,270.0,1,6,0,2004.0,11,1,4,2,2,1,3,0,4
66638,10.0,254,1358,625.0,712,39.24873167,-10.78796845,7,12,88,186,591.0,1,6,0,1999.0,1,0,4,5,2,2,8,0,2
11802,500.0,34,473,456.0,553,37.06100298,-6.86066449,8,11,36,938,350.0,1,6,1,2010.0,2,1,4,3,2,1,7,0,4
32622,0.0,105,1466,1098.0,309,31.24609381,-6.36083828,2,15,75,1366,500.0,0,10,1,2008.0,1,0,0,2,2,1,8,0,1
38536,8000.0,283,781,1475.0,906,35.29902627,-9.76069316,1,16,110,2048,0.0,1,6,1,1997.0,10,5,4,0,2,1,6,1,1
13050,0.0,79,995,1647.0,370,35.28733789,-9.34466887,6,3,91,295,450.0,1,6,1,2003.0,1,0,4,3,2,0,8,0,1
9804,1000.0,301,1403,1549.0,1492,37.91164376,-4.15300843,5,6,100,1347,40.0,1,10,1,2009.0,1,0,4,0,2,1,8,0,1
19281,0.0,122,1088,1646.0,309,31.44293176,-8.27874449,3,15,112,1252,150.0,1,6,0,1991.0,11,1,4,2,2,1,3,0,4
9193,25.0,301,140,712.0,309,37.54520632,-3.47068431,5,6,73,485,150.0,1,9,1,2008.0,10,5,4,5,2,1,3,0,1
58858,0.0,46,364,0.0,442,35.37877818,-5.73684547,0,2,4,994,0.0,1,6,1,2000.0,4,2,4,5,2,1,3,0,1
